Batch,Position,Sample_ID,Sample_type,Time_point,EIO_Lot,LPC_quant,EN_quant,EN_quant_status
AV360-388,C:1,T12_EIO_S1_R02,VCv2,T12,Lot A,29.2,6.66,Pass
AV360-388,D:1,T12_EIO_S1_R03,VCv2,T12,Lot A,29,6.14,Pass
AV360-388,E:1,T12_EIO_S1_R04,VCv2,T12,Lot A,28.1,6.93,Pass
AV360-388,F:1,T12_EIO_S1_R05,VCv2,T12,Lot A,28.5,6.15,Pass
AV360-388,G:1,T12_EIO_S1_R06,VCv2,T12,Lot A,29.1,7.94,Pass
AV360-388,H:1,T12_EIO_S1_R07,VCv2,T12,Lot A,28.8,7.71,Pass
AV360-388,A:2,T12_EIO_S1_R08,VCv2,T12,Lot B,29,7.16,Pass
AV360-388,B:2,T12_EIO_S1_R09,VCv2,T12,Lot B,27.8,5.86,Pass
AV360-388,C:2,T12_EIO_S1_R10,VCv2,T12,Lot B,29.3,5.95,Pass
AV360-388,D:2,T12_EIO_S1_R11,VCv2,T12,Lot B,29.3,7.14,Pass
AV360-388,E:2,T12_EIO_S1_R12,VCv2,T12,Lot B,28.4,7.03,Pass
AV360-388,F:2,T12_EIO_S1_R13,VCv2,T12,Lot B,28.1,6.46,Pass
AV360-388,G:2,T12_EIO_S1_R14,VCv2,T12,Lot B,30.9,8.14,Pass
AV360-388,H:2,T12_EIO_S0_R01,NTC,T12,Lot B,0.0753,0.135,Fail
AV360-388,A:3,T12_EIO_S1_R15,VCv2,T12,Lot C,28.8,6.46,Pass
AV360-388,B:3,T12_EIO_S1_R16,VCv2,T12,Lot C,27.5,5.21,Pass
AV360-388,C:3,T12_EIO_S1_R17,VCv2,T12,Lot C,27.9,6.15,Pass
AV360-388,D:3,T12_EIO_S1_R18,VCv2,T12,Lot C,29.8,7.49,Pass
AV360-388,E:3,T12_EIO_S1_R19,VCv2,T12,Lot C,26.8,7.55,Pass
AV360-388,F:3,T12_EIO_S1_R20,VCv2,T12,Lot C,29.2,6.55,Pass
AV360-388,G:3,NTC_1,NTC,T12,Lot C,0.0544,0.0441,Pass
AV360-388,H:3,T12_EIO_S1_R21,VCv2,T12,Lot C,31.5,7.79,Pass
